"State","gunOwnership","totalGuns"
"New Jersey","0.1470","57505"
"Massachusetts","0.1470","37152"
"Rhode Island","0.1480","4223"
"Hawaii","0.1490","7859"
"New York","0.1990","76207"
"Connecticut","0.2360","82400"
"Illinois","0.2780","146487"
"California","0.2830","344622"
"Maryland","0.3020","103109"
"Delaware","0.3440","4852"
"Florida","0.3530","343288"
"Ohio","0.4000","173405"
"Michigan","0.4020","65742"
"Pennsylvania","0.4070","236377"
"New Hampshire","0.4110","64135"
"Washington","0.4210","91835"
"Minnesota","0.4280","79307"
"Iowa","0.4360","28494"
"Virginia","0.4460","307822"
"Indiana","0.4480","114019"
"Colorado","0.4510","92435"
"Nebraska","0.4520","22234"
"Wisconsin","0.4530","64878"
"Texas","0.4570","588696"
"North Carolina","0.4580","152238"
"New Mexico","0.4620","97580"
"Arizona","0.4630","179738"
"Utah","0.4680","72856"
"Maine","0.4680","15371"
"Nevada","0.4730","76888"
"Missouri","0.4880","72995"
"Kansas","0.4890","52634"
"Georgia","0.4920","190050"
"South Carolina","0.4940","105601"
"Vermont","0.5050","5872"
"Oregon","0.5080","61383"
"Tennessee","0.5160","99159"
"Louisiana","0.5310","116831"
"Kentucky","0.5460","81058"
"Oklahoma","0.5470","71269"
"North Dakota","0.5510","13272"
"South Dakota","0.5530","21130"
"Alabama","0.5550","161641"
"Mississippi","0.5580","35494"
"Arkansas","0.5720","79841"
"West Virginia","0.5850","35264"
"Idaho","0.6010","49566"
"Alaska","0.6450","15824"
"Wyoming","0.6620","132806"
"Montana","0.6630","22133"
